City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,calvinia,-31.4707,19.776,283.31,50,18,3.95,ZA,1712890961
111,pimentel,-6.8367,-79.9342,297.31,73,0,6.17,PE,1712890714
112,riberalta,-10.9833,-66.1,296.14,99,100,1.88,BO,1712890961
113,arar,30.9753,41.0381,289.16,41,0,2.06,SA,1712890735
114,vadso,70.0744,29.7487,273.64,80,75,5.66,NO,1712890840
115,kittila,67.6647,24.8936,273.23,80,75,3.6,FI,1712890961
116,nguigmi,14.2495,13.1092,299.95,16,77,5.28,NE,1712890961
117,college,64.8569,-147.8028,278.75,50,75,5.14,US,1712890802
118,galle,6.0367,80.217,301.14,73,56,3.52,LK,1712890961
119,rio grande,-32.035,-52.0986,293.2,62,100,6.68,BR,1712890962
120,iskateley,67.6803,53.1512,274.83,100,100,7.6,RU,1712890706
121,bredasdorp,-34.5322,20.0403,285.54,77,35,2.92,ZA,1712890962
122,heilbad heiligenstadt,51.3833,10.1333,285.29,93,100,1.96,DE,1712890962
123,shepparton,-36.3833,145.4,292.67,44,0,1.11,AU,1712890962
124,longgang,37.6508,120.3286,289.94,48,9,5.63,CN,1712890962
125,zarechnyy,53.2036,45.1923,285.22,93,100,1.34,RU,1712890962
126,keetmanshoop,-26.5833,18.1333,291.66,34,0,5.14,NA,1712890962
127,tofol,5.3248,163.0078,298.73,90,100,6.26,FM,1712890963
128,port macquarie,-31.4333,152.9167,298.09,68,12,4.46,AU,1712890848
129,patong,7.8961,98.2966,305.23,69,89,6.76,TH,1712890885
130,ola,59.5833,151.2833,272.67,91,39,1.1,RU,1712890814
131,selfoss,63.9331,-20.9971,276.4,97,100,2.87,IS,1712890963
132,choyr,46.3611,108.3611,286.71,30,87,7.45,MN,1712890886
133,horsham,51.064,-0.3272,283.85,85,20,5.14,GB,1712890964
134,greenville,35.6127,-77.3663,295.44,92,100,8.23,US,1712890821
135,portland,45.5234,-122.6762,286.83,63,100,3.09,US,1712890351
136,barguzin,53.6167,109.6167,278.65,70,100,2.32,RU,1712890814
137,barra de santo antonio,-9.4047,-35.5072,298.75,82,5,2.16,BR,1712890833
138,fomboni,-12.28,43.7425,302.68,75,100,5.83,KM,1712890964
139,wailua homesteads,22.0669,-159.378,296.39,90,100,0.0,US,1712890964
140,east london,-33.0153,27.9116,288.45,66,68,6.29,ZA,1712890833
141,pagar alam,-4.0167,103.2667,296.41,96,100,0.43,ID,1712890964
142,alpena,45.0617,-83.4327,280.43,99,100,8.23,US,1712890964
143,la ronge,55.1001,-105.2842,275.29,69,20,3.09,CA,1712890960
144,hirara,24.8,125.2833,300.07,78,75,6.69,JP,1712890753
145,port elizabeth,-33.918,25.5701,288.31,74,100,4.63,ZA,1712890965
146,wuyang,31.9925,116.2472,293.94,74,68,2.16,CN,1712890965
147,mukalla,14.5425,49.1242,298.52,77,94,1.51,YE,1712890965
148,el granada,37.5027,-122.4694,291.19,81,0,9.77,US,1712890679
149,ribeira grande,38.5167,-28.7,289.14,94,5,2.39,PT,1712890692
150,jijel,36.8205,5.7667,282.12,93,0,1.54,DZ,1712890965
151,weno,7.4515,151.8468,304.12,79,100,4.12,FM,1712890842
152,bodaybo,57.8506,114.1933,274.1,83,99,1.28,RU,1712890965
153,battagram,34.6772,73.0233,293.01,49,84,1.47,PK,1712890965
154,whitehorse,60.7161,-135.0538,279.58,28,75,7.72,CA,1712890966
155,bonny,4.4522,7.1681,299.47,91,100,5.67,NG,1712890966
156,amahai,-3.3333,128.9167,301.85,75,29,1.36,ID,1712890966
157,kem',64.9555,34.5793,274.39,88,100,5.32,RU,1712890966
158,petrove,48.3247,33.2562,287.63,79,95,5.5,UA,1712890966
159,nago,26.5881,127.9761,298.62,67,69,1.38,JP,1712890966
160,galesong,-5.3166,119.3661,301.16,77,57,2.6,ID,1712890966
161,beau vallon,-20.4189,57.6953,298.83,94,75,4.63,MU,1712890732
162,kumagunnam,13.1551,10.6342,300.73,8,100,3.62,NG,1712890966
163,south hedland,-20.4089,118.5983,306.11,22,1,4.63,AU,1712890945
164,norderney,53.7,7.15,286.16,95,100,7.83,DE,1712890966
165,minggang,32.4586,114.0486,296.01,57,0,2.24,CN,1712890966
166,krasnyy yar,46.5331,48.3456,284.11,64,16,3.53,RU,1712890967
167,pundong,-7.9522,110.3486,303.34,70,71,3.17,ID,1712890967
168,port augusta,-32.5,137.7667,293.38,46,86,3.73,AU,1712890957
169,shenjiamen,29.9576,122.298,287.39,99,100,2.8,CN,1712890967
170,iringa,-7.7667,35.7,289.77,94,75,0.0,TZ,1712890967
171,kodiak,57.79,-152.4072,276.88,81,100,2.57,US,1712890691
172,ratnagiri,16.9833,73.3,301.54,49,10,3.8,IN,1712890967
173,niamey,13.5137,2.1098,307.31,14,0,3.6,NE,1712890967
174,ilulissat,69.2167,-51.1,263.58,96,100,2.15,GL,1712890692
175,howard springs,-12.497,131.047,303.14,77,99,4.27,AU,1712890792
176,lesogorsk,56.0458,99.5136,273.11,82,100,0.89,RU,1712890968
177,codrington,-38.2667,141.9667,289.38,54,100,4.58,AU,1712890720
178,georgievka,49.3314,81.5761,273.81,72,98,8.21,KZ,1712890968
179,stung treng,13.5259,105.9683,309.24,33,100,2.12,KH,1712890968
180,ponta delgada,37.7333,-25.6667,291.59,94,40,1.03,PT,1712890968
181,bereket,39.2446,55.5154,287.71,81,100,4.8,TM,1712890968
182,lerwick,60.1545,-1.1494,282.15,91,88,11.14,GB,1712890830
183,port hueneme,34.1478,-119.1951,296.36,86,100,3.6,US,1712890968
184,jiuquan,39.7432,98.5174,291.63,17,50,1.79,CN,1712890825
185,lihue,21.9789,-159.3672,296.73,88,100,0.0,US,1712890969
186,hithadhoo,-0.6,73.0833,301.85,73,85,3.09,MV,1712890690
187,muravlenko,63.7898,74.523,262.91,93,100,13.14,RU,1712890683
188,ust-nera,64.5667,143.2,270.8,83,67,2.9,RU,1712890815
189,tazacorte,28.629,-17.9293,296.69,35,20,4.12,ES,1712890969
190,mount pleasant,32.7941,-79.8626,294.4,81,75,4.63,US,1712890969
191,nar'yan-mar,67.6713,53.087,274.88,100,100,7.6,RU,1712890751
